date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2020-06-21,-3.5,-84.9,412421037,1.5297,0
2020-06-21,-3.5,-84.9,412421042,0.4327,0
2020-06-21,-3.5,-84.8,412421046,0.5733,0
2020-06-21,-3.5,-85,412421086,1.0263,0
2020-06-21,-3.5,-84.6,412421175,9.8102,0
2020-06-21,-3.5,-84.9,412440664,0.5183,0
2020-06-21,-3.5,-84.9,412440666,13.6561,0
2020-06-21,-3.5,-84.8,412440672,11.0483,0
2020-06-21,-3.5,-84.9,412549083,0.9652,0
2020-06-21,-3.5,-85,412549083,0.0669,0
2020-06-21,-3.5,-84.8,412549085,1.2438,0
2020-06-21,-3.5,-84.8,412549112,0.4944,0
2020-06-21,-3.5,-166.4,416122800,0.6508,0
2020-06-21,-3.5,-166.3,416122800,1.2408,0
2020-06-21,-3.5,-166.5,416122800,0.8475,0
2020-06-21,-3.5,-166.1,416122800,2.9644,0.4472
2020-06-21,-3.5,55.7,416136900,0.3522,0
2020-06-21,-3.5,55.8,416136900,0.9094,0
2020-06-21,-3.5,55.9,416136900,0.9108,0
2020-06-21,-3.5,153.5,416247900,0.4091,0
2020-06-21,-3.5,64.6,416773000,1.0858,1.0858
2020-06-21,-3.5,64.5,416773000,0.6161,0.6161
2020-06-21,-3.5,64.3,416773000,1.6963,1.6963
2020-06-21,-3.5,75.7,417000674,8.6461,0
2020-06-21,-3.5,76,417000674,3.7844,0
2020-06-21,-3.5,76.9,417130170,3.8788,3.8788
2020-06-21,-3.5,76.8,417130170,8.0511,8.0511
2020-06-21,-3.5,75.6,417570090,11.1369,10.3005
2020-06-21,-3.5,75.5,417570090,5.5944,5.5944
2020-06-21,-3.5,75.7,417570090,1.405,1.405
2020-06-21,-3.5,-7.2,431613000,1.1761,0
2020-06-21,-3.5,118.5,432282000,1.083,0
2020-06-21,-3.5,153.6,440053000,0.5147,0
2020-06-21,-3.5,-178.5,440641000,0.5766,0.4163
2020-06-21,-3.5,-166.9,440645000,2.2163,2.2163
2020-06-21,-3.5,-167.1,440645000,0.5227,0
2020-06-21,-3.5,-166.8,440645000,2.7269,1.5497
2020-06-21,-3.5,-167,440645000,1.1302,1.1302
2020-06-21,-3.5,-178.9,440647000,0.7,0
2020-06-21,-3.5,-179,440647000,1.6777,0
2020-06-21,-3.5,-164.4,440770000,1.0763,1.0763
2020-06-21,-3.5,-164.2,440770000,0.6283,0
2020-06-21,-3.5,-164.1,440770000,0.6841,0
